timestamp,frame_id,actual_fps,mean_r,mean_g,mean_b,head_pitch,head_yaw,head_roll,motion_flag
285988.4192462,1,0.0,103.9181,75.9379,75.3147,-177.57,8.12,-3.56,False
285988.5148197,2,10.46,102.4347,74.62,73.7162,-179.93,8.81,-3.81,False
285988.5148197,3,20.93,102.4301,74.5867,73.6136,179.79,9.28,-3.82,False
285988.5148197,4,31.39,102.6074,74.6723,73.5583,179.71,9.54,-3.83,False
285988.5474416,5,31.2,102.06,74.1232,73.0642,179.8,9.79,-3.85,False
285988.5474416,6,39.0,102.074,74.1093,73.0164,179.89,9.88,-3.86,False
285988.5791601,7,37.52,101.8087,73.7831,72.7373,179.6,9.82,-3.81,False
285988.5791601,8,43.77,101.6587,73.6729,72.6229,179.36,9.89,-3.8,False
285988.6115137,9,41.61,101.3409,73.5558,72.5245,179.36,10.09,-3.68,False
285988.6115137,10,46.81,101.2625,73.4715,72.426,179.47,10.24,-3.62,False
285988.6115137,11,52.01,101.2625,73.4715,72.426,179.53,10.3,-3.59,False
285988.6437957,12,48.99,100.672,72.9301,71.9332,179.54,10.41,-3.55,False
285988.6437957,13,53.44,100.3211,72.6178,71.5866,179.55,10.5,-3.55,False
285988.6752356,14,50.78,99.4798,72.1078,70.9395,179.54,10.61,-3.4,False
285988.6752356,15,54.69,100.4678,72.845,71.6136,179.57,10.54,-3.34,False
285988.6752356,16,58.6,100.4823,72.8866,71.6688,179.6,10.5,-3.3,False
285988.7072558,17,55.55,99.5824,72.1121,70.7912,179.44,10.85,-3.17,False
285988.7072558,18,59.03,99.754,72.2467,70.9613,179.41,11.04,-3.16,False
285988.7394137,19,56.22,98.4635,71.1565,70.0551,179.56,11.46,-3.08,False
285988.7394137,20,59.34,98.3795,71.0325,69.9072,179.77,11.46,-3.05,False
285988.7394137,21,62.47,98.3346,70.9645,69.8374,179.9,11.47,-3.01,False
285988.7711017,22,59.68,98.7443,71.3449,70.2298,179.68,11.16,-3.06,False
285988.7711017,23,62.53,98.495,71.1889,70.1148,179.51,11.03,-3.12,False
285988.7711017,24,65.37,98.4284,71.1181,70.0444,179.5,10.91,-3.16,False
285988.7711017,25,68.21,98.6498,71.3006,70.2375,179.51,10.87,-3.19,False
285988.8186594,26,62.59,97.5876,70.2302,69.2569,179.48,10.57,-3.12,False
285988.8186594,27,65.1,97.5279,70.1969,69.2521,179.5,10.49,-3.15,False
285988.8186594,28,67.6,97.6095,70.3946,69.5532,179.54,10.41,-3.17,False
285988.8509381,29,64.86,97.1388,69.9189,69.036,179.52,10.61,-3.19,False
285988.8509381,30,67.18,97.0355,69.7866,68.8779,179.47,10.74,-3.2,False
285988.8832703,31,78.71,96.3232,69.2752,68.5312,179.65,11.21,-3.26,False
285988.8832703,32,78.71,96.388,69.2905,68.5451,179.68,11.39,-3.29,False
285988.8832703,33,78.71,96.6302,69.6064,68.9258,179.77,11.41,-3.3,False
285988.9148828,34,78.92,96.5247,69.4895,68.8995,179.75,11.21,-3.3,False
285988.9148828,35,78.92,96.4953,69.5027,68.9282,179.73,11.06,-3.31,False
285988.9148828,36,86.38,96.4976,69.5008,68.9248,179.72,10.97,-3.31,False
285988.9473054,37,78.77,96.8654,69.7262,68.9228,179.25,10.89,-3.28,False
285988.9473054,38,86.36,96.7771,69.6081,68.7749,178.93,10.93,-3.3,False
285988.9799483,39,78.71,96.4462,69.5165,68.5972,178.85,11.12,-3.29,False
285988.9799483,40,78.71,96.4419,69.4939,68.565,178.73,11.23,-3.3,False
285988.9799483,41,86.27,96.4969,69.5805,68.7033,178.7,11.31,-3.28,False
285989.011107,42,78.95,96.2856,69.5346,68.6076,178.66,11.28,-3.29,False
285989.011107,43,86.34,96.2836,69.5325,68.6055,178.67,11.29,-3.3,False
285989.011107,44,86.34,96.2836,69.5325,68.6055,178.66,11.3,-3.3,False
285989.0431678,45,78.82,96.2703,69.3871,68.5915,178.66,11.29,-3.31,False
285989.0431678,46,86.33,96.2703,69.3871,68.5915,178.66,11.29,-3.31,False
285989.074705,47,78.92,96.1858,69.3993,68.4468,178.67,11.27,-3.3,False
285989.074705,48,86.49,96.1959,69.4864,68.5559,178.63,11.26,-3.31,False
285989.074705,49,86.49,96.1959,69.4864,68.5559,178.64,11.26,-3.31,False
285989.1068342,50,78.93,96.5266,69.567,68.7253,178.61,11.16,-3.34,False
285989.1068342,51,86.38,96.5266,69.567,68.7253,178.62,11.16,-3.34,False
285989.1068342,52,86.38,96.5266,69.567,68.7253,178.62,11.15,-3.36,False
285989.1392368,53,78.78,96.4952,69.5404,68.6615,178.59,11.15,-3.36,False
285989.1392368,54,78.78,96.4952,69.5404,68.6615,178.57,11.13,-3.38,False
285989.1709252,55,82.32,95.6421,69.0586,68.2797,178.23,11.04,-3.44,False
285989.1709252,56,82.32,95.9984,69.2267,68.3685,178.23,10.75,-3.42,False
285989.1709252,57,82.32,96.1527,69.3244,68.4667,178.21,10.56,-3.4,False
285989.1709252,58,90.63,96.1852,69.3552,68.4973,178.21,10.46,-3.39,False
285989.2201233,59,78.55,96.4414,69.3262,68.413,177.97,10.4,-3.38,False
285989.2201233,60,86.09,95.4561,68.7177,67.9195,177.88,10.37,-3.36,False
285989.2201233,61,86.09,95.485,68.8136,68.0563,177.79,10.34,-3.36,False
285989.2508442,62,78.9,95.7097,69.0965,68.3162,177.66,10.26,-3.37,False
285989.2508442,63,86.32,95.7452,69.0807,68.3041,177.59,10.22,-3.37,False
285989.2829213,64,78.8,95.6183,68.8774,68.2103,177.52,10.5,-3.43,False
285989.2829213,65,78.8,95.6698,68.8925,68.2108,177.5,10.63,-3.42,False
285989.2829213,66,86.41,95.7185,68.7735,67.9486,177.51,10.75,-3.41,False
285989.3147833,67,78.92,96.6135,69.6283,68.9872,177.27,10.77,-3.42,False
285989.3147833,68,86.61,96.6669,69.6325,68.9539,177.19,10.72,-3.39,False
285989.3147833,69,86.61,96.7223,69.6713,68.9664,177.15,10.69,-3.37,False
285989.3477229,70,78.85,96.8695,69.5971,68.6462,177.39,11.37,-3.36,False
285989.3477229,71,86.15,96.9629,69.6569,68.6718,177.53,11.51,-3.33,False
285989.379518,72,78.72,96.5285,69.4674,68.3007,177.59,12.54,-3.22,False
285989.379518,73,78.72,96.4948,69.4984,68.3058,177.63,12.97,-3.16,False
285989.379518,74,86.22,96.4383,69.399,68.1847,177.65,13.23,-3.13,False
285989.4119013,75,78.65,96.4467,69.4771,68.3754,177.87,13.19,-3.07,False
285989.4119013,76,86.0,96.7028,69.5901,68.3677,177.99,13.24,-3.02,False
285989.443203,77,78.7,96.8098,69.9245,68.7269,178.1,12.92,-2.97,False
285989.443203,78,78.7,96.8068,69.9279,68.7172,178.18,12.82,-2.93,False
285989.443203,79,86.21,96.997,70.1223,68.949,178.22,12.77,-2.91,False
285989.4753177,80,78.7,96.8533,69.7004,68.5061,178.21,12.06,-2.85,False
285989.4753177,81,78.7,96.912,69.8382,68.6786,178.34,11.69,-2.88,False
285989.5073889,82,78.77,96.0278,69.5238,68.3442,177.88,10.45,-2.81,False
285989.5073889,83,78.77,96.0571,69.4146,68.1486,177.73,10.09,-2.84,False
285989.5073889,84,86.19,95.9777,69.404,68.15,177.68,9.86,-2.84,False
285989.5397233,85,78.63,96.1023,69.4129,68.2604,177.69,9.96,-2.8,False
285989.5397233,86,78.63,95.8824,69.1046,67.8866,177.69,9.83,-2.79,False
285989.5397233,87,78.63,95.7967,69.055,67.8236,177.68,9.8,-2.81,False
285989.5710724,88,82.63,96.0374,69.4614,68.2087,177.37,9.62,-2.7,False
285989.5710724,89,82.63,96.1115,69.5487,68.3062,177.33,9.66,-2.69,False
285989.5710724,90,82.63,95.9939,69.3752,68.0721,177.31,9.66,-2.69,False
285989.5710724,91,90.56,95.9939,69.3752,68.0721,177.29,9.66,-2.7,False
285989.6189827,92,78.77,96.0427,69.4144,68.078,177.47,8.87,-2.63,False
285989.6189827,93,86.29,97.0228,70.1227,68.714,177.5,9.03,-2.64,False
285989.6523769,94,78.49,97.1522,70.2896,68.9104,177.24,8.26,-2.45,False
285989.6523769,95,78.49,96.7803,69.9623,68.527,177.19,8.13,-2.39,False
285989.6523769,96,85.9,96.8297,69.993,68.5608,177.17,8.04,-2.36,False
285989.6828079,97,78.8,96.5979,69.9402,68.4449,177.08,7.41,-2.17,False
285989.6828079,98,78.8,96.5846,69.9844,68.5368,177.02,7.46,-2.14,False
285989.6828079,99,86.55,96.6112,70.0719,68.6958,177.01,7.43,-2.12,False
285989.7152192,100,78.91,96.4996,69.8271,68.4293,176.9,7.11,-2.0,False
285989.7152192,101,86.39,96.6667,70.0019,68.6388,176.88,7.09,-1.97,False
285989.747001,102,78.92,97.1848,69.9363,68.3371,176.8,6.42,-1.88,False
285989.747001,103,78.92,97.191,69.9425,68.3433,176.74,6.21,-1.83,False
285989.747001,104,86.54,97.2186,70.0244,68.4132,176.68,6.13,-1.79,False
285989.7794863,105,78.89,97.3348,70.0218,68.3709,176.68,5.52,-1.69,False
285989.7794863,106,86.24,97.3348,70.0218,68.3709,176.64,5.48,-1.66,False
285989.8110108,107,78.85,96.7979,69.7244,68.0725,177.4,5.18,-1.58,False
285989.8110108,108,78.85,96.5051,69.4953,67.8108,177.54,5.02,-1.56,False
285989.8110108,109,86.39,96.4874,69.5276,67.8744,177.59,4.96,-1.55,False
285989.8439415,110,78.67,97.0906,69.7058,68.1412,177.77,4.69,-1.36,False
